NAME,ID,HIST_DATE,ARCH_DATE_MIN,ARCH_DATE_MAX,ARCH_DATE_MID,ALTITUDE,TERR_UNDUL,LAND_TYPE,LAND_TYPE_SIMP,ALA,DIST_PRAGUE,DIST_MAJTOWN,DIST_MONAST,DIST_MAJROAD,DIST_MAJRIV,STATUS,LONG,LAT
Heřmaň,364,1227,1200,1300,1250,384,2.69,8,8,0,97271,8450,17209,698,15139,1,-776448.4429,-1134291.726
Skály,365,1365,1200,1300,1250,383,2.5,8,8,0,98222,9892,19587,2404,13554,0,-774519.6304,-1135985.059
Myšenec,366,1331,1200,1300,1250,388,2.53,8,8,0,97330,10489,22703,5624,10383,0,-771259.9637,-1136101.476
Krč,367,1352,1200,1300,1250,411,3.19,8,8,0,100028,14617,26227,7587,9314,0,-768828.4429,-1139607.205
Újezdec,368,1389,1250,1300,1275,412,1.87,8,8,0,105103,11733,27993,6007,13176,0,-769590.4429,-1144655.455
Vodňany,369,1318,1200,1300,1250,403,1.9,8,8,0,105997,11036,23470,964,16752,1,-774797.4429,-1144077.34
Munice,370,1384,1200,1300,1250,387,2.84,8,8,0,113966,11003,23158,13342,2814,0,-759458.9269,-1155764.689
České Budějovice,371,1251,1200,1300,1250,390,1.17,8,8,0,123819,31,15247,9752,945,1,-755827.5207,-1166154.876
Branišov,372,1391,1200,1300,1250,402,1.75,8,8,0,123180,5746,13931,7291,4970,0,-761436.6873,-1164785.658
Dubné,373,1263,1200,1300,1250,409,2.29,8,8,0,123598,8381,13481,4907,7466,0,-764121.7121,-1164768.956
Brloh,374,1310,1250,1300,1275,562,7.11,7,6+7,0,129618,13461,13786,6410,11178,0,-775022.5454,-1168573.664
Holubov,375,1379,1275,1325,1300,516,6.91,7,6+7,0,133346,8833,5327,2996,2608,0,-768304.7746,-1173907.664
Opalice,376,1365,1200,1300,1250,487,4.16,8,8,0,133760,10503,4046,1938,1304,0,-762296.0871,-1175354.935
Čertyně,377,1365,1200,1300,1250,508,4.75,8,8,0,133935,9654,3297,802,1129,0,-763531.6912,-1175344.352
Záluží,378,1389,1200,1300,1250,522,5.12,8,8,0,134849,8637,2283,67,1307,0,-764127.0037,-1176175.143
Chlumec,379,1483,1200,1300,1250,524,4.33,8,8,0,135309,8955,2518,662,2393,0,-763073.9621,-1176804.852
Štěkře,380,1339,1200,1300,1250,535,5.1,7,6+7,0,135987,7650,1200,745,1302,0,-764399.5246,-1177283.747
Krnín,381,1395,1200,1300,1250,521,3.75,8,8,0,135294,9464,3105,1315,2967,0,-762349.0037,-1176897.456
Dolní Třebonín,382,1375,1200,1300,1250,526,3.11,7,6+7,0,137041,8562,2904,1127,2685,0,-762296.0871,-1178670.164
Černice,383,1315,1200,1300,1250,509,4.2,7,6+7,0,138918,5722,2045,1466,342,0,-764707.7642,-1180203.424
Chvalšiny,384,1281,1200,1300,1250,570,7.12,7,6+7,0,138030,8987,11703,11856,8860,1,-776782.0246,-1176806.174
Kájov,385,1263,1225,1275,1250,543,7.14,7,6+7,0,142690,4105,9720,10589,3854,0,-773998.6079,-1182261.883
Staré Dobrkovice,386,1347,1200,1250,1225,505,7.36,7,6+7,0,141482,2031,7280,8288,1920,0,-771639.8475,-1181535.602
Český Krumlov,387,1240,1200,1250,1225,491,7.29,7,6+7,0,142201,28,6469,6471,170,1,-769896.2433,-1182619.732
Trhové Sviny,389,1260,1200,1300,1250,460,3,8,8,0,139543,11809,19645,3972,17479,1,-745997.7537,-1182527.789
Benešov nad Černou,390,1332,1200,1300,1250,665,5.58,6,6+7,0,151781,13090,23446,13254,20065,0,-748491.4516,-1194695.977
Tichá,391,1360,1275,1325,1300,656,4.14,6,6+7,0,161095,24336,16087,5971,11127,0,-757376.16,-1203456.331
Cetviny,392,1325,1200,1400,1300,654,5.91,6,6+7,0,163935,25591,18064,7460,13460,0,-755651.0767,-1206452.737
Blansko,393,1360,1200,1300,1250,590,4.42,6,6+7,0,149921,16757,16691,7312,12831,1,-756272.8475,-1192337.216
Kaplice,394,1257,1200,1300,1250,542,4.05,7,6+7,0,150058,15382,15824,5603,11224,1,-757982.0558,-1192310.758
Frymburk,395,1270,1200,1300,1250,736,5.82,5,5,0,159708,19935,11244,19402,307,1,-783056.6183,-1197575.966
Svatý Kříž,396,1530,1300,1400,1350,494,3.06,7,6+7,0,101370,4447,26058,959,3940,0,-667717.9184,-1111114.983
Bezděkov,401,1356,1300,1400,1350,235,2.22,11,9+10+11,1,65348,2954,8986,1081,758,0,-798101.9394,-1008188.098
Divice,402,1318,1300,1400,1350,322,5.18,8,8,0,48134,9018,4117,869,9529,0,-782695.2519,-1016072.681
Jeníkov,403,1352,1300,1400,1350,246,2.64,9,9+10+11,1,76837,2947,4092,7623,20656,0,-781602.5227,-976694.7437
Benešov nad Ploučnicí,404,1352,1300,1400,1350,214,8.7,8,8,0,73167,35,33598,25904,7863,1,-740600.0435,-969888.3375
Rozhled,405,1337,1300,1400,1350,527,7.54,6,6+7,0,86966,13128,45974,16745,24162,0,-720371.3247,-959000.7333
Staré Křečany,406,1485,1300,1400,1350,402,3.79,7,6+7,0,96202,17746,57069,20865,20026,0,-724387.6997,-948599.9625
Zákupy,407,1315,1300,1400,1350,269,2.96,7,6+7,0,68285,7705,27814,19935,32529,1,-718062.8351,-979379.6031
Mříčná,408,1356,1300,1400,1350,417,5.47,7,6+7,0,93898,19236,37864,34450,10313,0,-661496.2413,-996069.5198
Čímyšl,409,1371,1350,1400,1375,308,4.72,7,6+7,1,76975,8788,24007,24453,25067,1,-675781.0955,-1005180.943
Zajakury,410,1383,1300,1325,1312.5,382,3.12,8,8,1,69212,9907,20690,20632,32289,0,-681601.9288,-1010716.026
Bystřice,411,1365,1350,1400,1375,289,2.92,8,8,1,68112,8773,25605,21338,27673,0,-679976.0643,-1016736.62
Mlýnec,412,1322,1300,1350,1325,210,1.88,9,9+10+11,1,62753,4169,26533,13666,19031,0,-682574.2726,-1025433.474
Dolní Javoří,414,1543,1300,1400,1350,349,5.53,7,6+7,0,92665,13349,37974,17503,10781,0,-655364.5226,-1012365.703
